% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.011	1	1	102	2	1	22	2769	22	2769	0
1.011	1	1	102	2	1	22	2769	22	2769	0
1.011	1	1	102	2	1	22	2769	22	2769	0
1.012	1	1	102	3	1	22	2769	22	2769	0
1.012	1	1	102	3	1	22	2769	22	2769	0
1.012	1	1	102	3	1	22	2769	22	2769	0
1.013	1	1	102	4	1	22	2769	22	2769	0
1.013	1	1	102	4	1	22	2769	22	2769	0
1.013	1	1	102	4	1	22	2769	22	2769	0
1.014	1	1	102	5	1	22	2769	22	2769	0
1.014	1	1	102	5	1	22	2769	22	2769	0
1.014	1	1	102	5	1	22	2769	22	2769	0
1.015	1	1	102	6	1	22	2769	22	2769	0
1.015	1	1	102	6	1	22	2769	22	2769	0
1.015	1	1	102	6	1	22	2769	22	2769	0
1.016	1	1	102	7	1	22	2769	22	2769	0
1.016	1	1	102	7	1	22	2769	22	2769	0
1.016	1	1	102	7	1	22	2769	22	2769	0
1.017	1	1	102	8	1	22	2769	22	2769	0
1.017	1	1	102	8	1	22	2769	22	2769	0
1.017	1	1	102	8	1	22	2769	22	2769	0
1.018	1	1	102	9	1	22	2769	22	2769	0
1.018	1	1	102	9	1	22	2769	22	2769	0
1.018	1	1	102	9	1	22	2769	22	2769	0
1.019	1	1	102	10	1	22	2769	22	2769	0
1.019	1	1	102	10	1	22	2769	22	2769	0
1.019	1	1	102	10	1	22	2769	22	2769	0
1.02	1	1	103	1	1	22	2769	22	2769	0
1.02	1	1	103	1	1	22	2769	22	2769	0
1.02	1	1	103	1	1	22	2769	22	2769	0
1.021	1	1	103	2	1	22	2769	22	2769	0
1.021	1	1	103	2	1	22	2769	22	2769	0
1.021	1	1	103	2	1	22	2769	22	2769	0
1.022	1	1	103	3	1	22	2769	22	2769	0
1.022	1	1	103	3	1	22	2769	22	2769	0
1.022	1	1	103	3	1	22	2769	22	2769	0
1.023	1	1	103	4	1	22	2769	22	2769	0
1.023	1	1	103	4	1	22	2769	22	2769	0
